order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
1A,Introduction,https://frontendmasters.com/courses/linux-command-line/,https://frontendmasters.com/courses/web-development-v2/,https://members.onepeloton.com/members/btholt/overview,https://twitter.com/ImNikiHolt,https://anniecannons.org/invest,https://thelastmile.org/donate/,https://vetswhocode.io/donate,http://lcycwa.org/donate,https://twitter.com/holtbt,https://linkedin.com/in/btholt,https://github.com/btholt
1B,Installation Notes,https://frontendmasters.com/courses/complete-intro-containers/,https://www.docker.com/products/docker-desktop,https://brew.sh/,https://docs.microsoft.com/en-us/windows/package-manager/winget/#install-winget,https://chocolatey.org/,https://www.mongodb.com/try/download/community,https://www.postgresql.org/download/,https://neo4j.com/download-center/#community,https://redis.io/download,https://nodejs.org/download/release/v12.18.4/,https://github.com/nvm-sh/nvm
1C,Terminology,,,,,,,,,,,
2A,NoSQL,,,,,,,,,,,
2B,MongoDB,https://www.jetbrains.com/lp/devecosystem-2020/databases/,https://docs.mongodb.com/manual/reference/bson-types/,,,,,,,,,
2C,Querying MongoDB,,,,,,,,,,,
2D,Updating MongoDB,https://docs.mongodb.com/manual/reference/operator/update/#id1,,,,,,,,,,
2E,Indexes in MongoDB,https://lucene.apache.org/solr/,https://docs.mongodb.com/manual/tutorial/specify-language-for-text-index/,https://docs.mongodb.com/manual/reference/operator/query/text/index.html,,,,,,,,
2F,Aggregation,https://docs.mongodb.com/manual/reference/operator/aggregation-pipeline/,,,,,,,,,,
2G,Write a Node.js app with MongoDB,https://github.com/btholt/db-samples,,,,,,,,,,
2H,MongoDB Ops,https://www.mongodb.com/cloud/atlas,https://docs.microsoft.com/en-us/azure/cosmos-db/mongodb-introduction,https://aws.amazon.com/documentdb/,,,,,,,,
3A,Intro to SQL Database,https://stackoverflow.com/a/7580013,,,,,,,,,,
3B,PostgreSQL,https://www.postgresql.org/docs/9.5/datatype.html#DATATYPE-TABLE,,,,,,,,,,
3C,Querying PostgreSQL,https://btholt.github.io/complete-intro-to-databases/sample-postgresql.sql,,,,,,,,,,
3D,Complex SQL Queries,https://commons.wikimedia.org/wiki/File:SQL_Joins.svg,,,,,,,,,,
3E,JSON in PostgreSQL,https://www.citusdata.com/blog/2016/07/14/choosing-nosql-hstore-json-jsonb/,,,,,,,,,,
3F,Indexes in PostgreSQL,https://www.postgresql.org/docs/13.0/indexes.html,,,,,,,,,,
3G,Node.js App with PostgreSQL,https://github.com/btholt/db-samples,,,,,,,,,,
3H,Hasura,https://hasura.io/,https://hasura.io/docs/1.0/graphql/core/getting-started/docker-simple.html,https://btholt.github.io/complete-intro-to-databases/sample-postgresql.sql,http://localhost:8080,,,,,,,
3I,PostgreSQL Ops,https://www.postgresql.org/docs/13/admin.html,,,,,,,,,,
4A,Graph Databases,,,,,,,,,,,
4B,Neo4j,https://neo4j.com/docs/cypher-manual/4.1/syntax/naming/,,,,,,,,,,
4C,Neo4j Browser,http://localhost:7474,https://btholt.github.io/complete-intro-to-databases/sample-neo4j.cql,,,,,,,,,
4D,Complex Neo4j Queries,https://btholt.github.io/complete-intro-to-databases/sample-neo4j.cql,https://en.wikipedia.org/wiki/Six_Degrees_of_Kevin_Bacon,,,,,,,,,
4E,Indexes in Neo4j,https://neo4j.com/docs/cypher-manual/4.1/query-tuning/,,,,,,,,,,
4F,Node.js App with Neo4j,,,,,,,,,,,
4G,Neo4j Ops,,,,,,,,,,,
5A,Key-Value Store,,,,,,,,,,,
5B,Redis,,,,,,,,,,,
5C,Redis Command Options,,,,,,,,,,,
5D,Redis Data Types,https://redis.io/commands#hash,https://redis.io/topics/data-types-intro#redis-sorted-sets,https://btholt.github.io/four-semesters-of-cs-part-two/bloom-filters,https://redis.io/topics/data-types-intro#hyperloglogs,https://redis.io/topics/streams-intro,,,,,,
5E,More Redis Concepts,https://redis.io/topics/notifications,https://redis.io/topics/transactions,https://redis.io/topics/lru-cache,,,,,,,,
5F,Node.js App with Redis,https://github.com/btholt/db-samples,,,,,,,,,,
5G,Redis Ops,,,,,,,,,,,
6A,Conclusion,https://kafka.apache.org/,https://frontendmasters.com/courses/linux-command-line/,https://frontendmasters.com/courses/complete-intro-containers/,https://frontendmasters.com/courses/mongodb/,https://frontendmasters.com/courses/api-design-nodejs-v3/,https://frontendmasters.com/courses/server-graphql-nodejs/,https://frontendmasters.com/courses/client-graphql-react/,https://frontendmasters.com/courses/advanced-graphql-v2/,https://frontendmasters.com/courses/fullstack-v2/,https://twitter.com/holtbt,https://github.com/btholt/complete-intro-to-databases
